情境,街廓,側別,街角第1宗,範圍最小深度(m),宗最小深度(m),附表最小深(m),k=∂w/∂d,m=-∂D/∂t,c=∂w/∂t,K-9-7分支,寬度_截角前_新帶深(m),寬度_截角後_新帶深(m),寬度_截角前_舊帶深14(m),寬度_截角後_舊帶深14(m),範圍⊆宗,範圍−宗 溢出(㎡),截角接合,頂點最小距(m),局部框最小距(m),K98_P,K98_P落點,K98_內縮量(m),K98_PQ長(m),K98_平行殘差,K98_最小深度(m),K98_最小寬度(m),K98_虛擬塊面積(㎡),K98_虛擬−宗(㎡),K98_其中在街廓外(㎡),K98_其中在截角三角形內(㎡),K98_截角三角形面積(㎡),UK93_溢出(㎡),UK93_其中在截角三角形內(㎡),UK93_佔截角比,UK93_落截角內比例,UK93_在街廓內(㎡),UK93_在街廓外(㎡),UK93_位置s範圍,UK93_位置t範圍,UK93_形心st,UK93_截角△s範圍
0m,R1,left,628-37(1),29.5051,33.1612,14.00,0.000000,7.338255,-1.003270,①（k ≥ 0·深度不影響）⚠️非線性,—（非邊接合）,2.8261,—（非邊接合）,2.8261,🔴 不成立,5.325538,點接合（Point）,0.000e+00,0.000e+00,"(310456.0310, 2652005.7114)",FRONT 重疊段（**退化**）,+0.000021,6.4943,0.000e+00,33.1612,4.1421,220.7449,12.031317,6.710380,6.710380,6.710438,5.325538,0.000000,79.4%,0.00%,5.325538,0.000000,"[0.260,2.684]","[-33.163,-2.692]","(1.699,-22.342)","[0.000,3.668]"
0m,R1,right,628(5),33.1294,33.1294,14.00,0.000000,-0.000000,1.003270,①（k ≥ 0·深度不影響）,1.4165,1.4165,6.8469,3.4643,✅ 成立（噪訊 8.49e-11㎡ ≤ 法定粒度）,0.000000,邊接合（LineString）,0.000e+00,0.000e+00,"(310506.8775, 2651951.9854)",FRONT 重疊段（**退化**）,+0.000247,6.8469,2.220e-16,33.1280,4.1726,233.4921,5.771258,5.771258,5.771206,5.771607,—,—,—,—,—,—,—,—,—,—
0m,R2,left,628-40(1),44.8876,44.8750,14.00,-0.075547,0.009750,1.002499,③（k<0·D 隨 t 變）,4.7590,4.6051,7.0916,4.6051,✅ 成立,0.000000,邊接合（LineString）,0.000e+00,0.000e+00,"(310367.0216, 2651918.1876)",FRONT 重疊段（**退化**）,+0.000004,8.1493,1.110e-16,44.8750,4.7590,289.8960,6.280160,6.280160,6.280146,6.280152,—,—,—,—,—,—,—,—,—,—
0m,R3,right,—（強制留設抵費地）,41.4195,—,14.00,0.000000,-6.890189,1.004284,①（k ≥ 0·深度不影響）⚠️非線性,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
0m,R4,left,628(1),33.1240,33.1129,14.00,-0.047599,0.000266,1.001034,③（k<0·D 隨 t 變）,26.9476,26.9476,46.2567,43.2119,✅ 成立（噪訊 1.48e-10㎡ ≤ 法定粒度）,0.000000,邊接合（LineString）,0.000e+00,0.000e+00,"(310549.3656, 2651907.1021)",FRONT 重疊段（**退化**）,-0.007169,46.9234,0.000e+00,33.1129,43.8478,1528.0811,7.031886,7.031886,6.858246,6.858246,—,—,—,—,—,—,—,—,—,—
0m,R4,right,628-1(1),33.1000,33.1000,14.00,-0.050087,0.000000,-1.001034,②（k<0·D 常數）,—（非邊接合）,raise:本宗未臨接正面路街線（距 FRONT 最近之頂點 -0.014826,—（非邊接合）,raise:本宗未臨接正面路街線（距 FRONT 最近之頂點 -0.014826,✅ 成立（噪訊 3.05e-10㎡ ≤ 法定粒度）,0.000000,點接合（Point）,0.000e+00,0.000e+00,"(310574.8871, 2651880.1433)",截角邊（t_P=+0.013039m）,-0.013039,14.8480,0.000e+00,33.0967,13.1903,464.0242,6.272405,6.272405,6.252085,6.252467,—,—,—,—,—,—,—,—,—,—
0m,R5,left,628-7(2),43.6744,43.6744,14.00,-0.075610,-0.000000,1.004284,②（k<0·D 常數）,0.6706,0.6706,6.0869,3.6833,✅ 成立（噪訊 7.64e-11㎡ ≤ 法定粒度）,0.000000,邊接合（LineString）,0.000e+00,0.000e+00,"(310438.6830, 2651851.7813)",FRONT 重疊段（**退化**）,-0.000000,7.1466,0.000e+00,43.5104,3.8531,239.7036,6.143061,6.143052,6.143052,6.143052,—,—,—,—,—,—,—,—,—,—
0m,R6,right,628-18(1),43.5317,43.5317,14.00,0.000000,0.000000,-1.003245,①（k ≥ 0·深度不影響）,1.3999,1.3999,7.2212,3.8197,✅ 成立（噪訊 3.20e-09㎡ ≤ 法定粒度）,0.000000,邊接合（LineString）,0.000e+00,0.000e+00,"(310503.5901, 2651792.9322)",FRONT 重疊段（**退化**）,+0.000005,7.2212,0.000e+00,43.3615,4.8108,313.5527,5.766394,5.766385,5.766386,5.766394,—,—,—,—,—,—,—,—,—,—
3.5m,R1,left,628-36(1),33.1610,33.1567,14.00,0.000000,7.338255,-1.003270,①（k ≥ 0·深度不影響）⚠️非線性,—（非邊接合）,13.9164,—（非邊接合）,13.9164,🔴 不成立,5.325538,點接合（Point）,0.000e+00,0.000e+00,"(310463.6542, 2651997.6564)",FRONT 重疊段（**退化**）,+0.000055,17.5846,0.000e+00,33.1567,15.2327,588.4761,12.031193,6.710256,6.710256,6.710438,5.325538,0.000000,79.4%,0.00%,5.325538,0.000000,"[0.260,7.000]","[-33.163,-0.000]","(1.699,-22.342)","[0.000,3.668]"
3.5m,R1,right,628(5),33.1294,33.1294,14.00,0.000000,-0.000000,1.003270,①（k ≥ 0·深度不影響）,1.4166,1.4166,6.8470,3.4644,🔴 不成立,5.067912,邊接合（LineString）,0.000e+00,0.000e+00,"(310506.8774, 2651951.9855)",FRONT 重疊段（**退化**）,+0.000247,6.8470,0.000e+00,33.1280,4.1727,233.4965,5.771258,5.771189,5.771206,5.771607,5.067912,0.000000,87.8%,0.00%,5.067912,0.000000,"[80.313,83.930]","[-33.130,-0.000]","(81.730,-16.565)","[83.930,87.631]"
